NumPathsCalculated, NumIterations, NumPathsSuccess, NumPathsBlocked, PathCalcTime, NumNodes, NodesUsedInPath, IsNewGoal
1,4548,1,3959,0.303,590,15,1
2,4136,2,3553,0.55,584,4,0
3,3752,3,3239,0.749,514,36,1
4,4813,4,4235,1.026,579,14,0
5,3387,5,2879,1.283,509,3,0
6,5563,6,4763,1.653,801,12,1
7,4596,7,4011,1.881,586,19,1
8,4671,8,4143,2.209,529,11,0
9,4476,9,3888,2.464,589,30,1
10,7643,10,6757,2.76,887,25,0
11,4986,11,4464,3.073,523,17,0
12,4490,12,3986,3.358,505,6,0
13,4244,13,3735,3.616,510,5,0
14,8150,14,7134,4.081,1017,15,1
15,3722,15,3189,4.303,534,5,0
16,3924,16,3379,4.49,546,8,1
17,7186,17,6275,4.899,912,17,1
18,4158,18,3628,5.108,531,12,0
19,6328,19,5567,5.449,762,18,1
20,4293,20,3701,5.681,593,6,0
21,7069,21,6145,6.082,925,21,1
22,4450,22,3911,6.255,540,10,0
23,3536,23,3033,6.444,504,10,1
24,5281,24,4565,6.808,717,20,1
25,4277,25,3695,7.021,583,9,0
26,5396,26,4711,7.371,686,23,1
27,6797,27,6047,7.816,751,12,0
28,4578,28,4037,8.059,542,7,0
29,4293,29,3728,8.299,566,14,1
30,3585,30,3062,8.521,524,5,0
31,3670,31,3098,8.783,573,11,1
32,3426,32,2926,8.958,501,3,0
33,5296,33,4623,9.241,674,24,1
34,3920,34,3366,9.491,555,13,0
35,7006,35,6159,10.06,848,21,1
36,4859,36,4192,10.387,668,9,0
37,4328,37,3754,10.604,575,18,1
38,3744,38,3208,10.821,537,8,0
39,3522,39,2997,11.107,526,15,1
40,4330,40,3747,11.349,584,17,1
41,5899,41,5138,11.661,762,17,0
42,4370,42,3855,11.946,516,9,0
43,3990,43,3468,12.123,523,7,0
44,5914,44,5086,12.563,829,30,1
45,7522,45,6597,13.039,926,17,0
46,4055,46,3504,13.278,552,7,0
47,6256,47,5469,13.649,788,20,1
48,4815,48,4204,13.877,612,14,0
49,3514,49,3006,14.113,509,4,0
50,3629,50,3088,14.323,542,10,1
51,4165,51,3612,14.632,554,3,0
52,4461,52,3935,14.91,527,22,1
53,4010,53,3506,15.152,505,10,0
54,4255,54,3696,15.419,560,25,1
55,5476,55,4850,15.719,627,16,0
56,4047,56,3542,15.941,506,6,0
57,3448,57,2944,16.17,505,24,1
58,4969,58,4277,16.436,693,9,0
59,3988,59,3439,16.679,550,13,1
60,5096,60,4435,17.031,662,18,1
61,4256,61,3731,17.248,526,11,0
